cpu_percent,process_count,ram_percent,scenario,source_tag,timestamp
6.4,382,94.0,,,2026-03-30 02:39:36
7.0,380,94.4,,,2026-03-30 02:39:38
8.2,322,51.2,idle,local_psutil,2026-04-02 02:09:27
12.6,322,51.5,idle,local_psutil,2026-04-02 02:09:30
8.3,320,51.5,idle,local_psutil,2026-04-02 02:09:33
8.3,322,51.3,idle,local_psutil,2026-04-02 02:09:36
9.2,320,51.3,idle,local_psutil,2026-04-02 02:09:39
8.1,320,51.3,idle,local_psutil,2026-04-02 02:09:42
9.0,322,51.2,idle,local_psutil,2026-04-02 02:09:46
6.8,322,51.3,idle,local_psutil,2026-04-02 02:09:49
8.2,320,51.2,idle,local_psutil,2026-04-02 02:09:52
5.7,320,51.1,idle,local_psutil,2026-04-02 02:09:55
5.7,320,51.0,idle,local_psutil,2026-04-02 02:09:58
5.6,322,51.0,idle,local_psutil,2026-04-02 02:10:01
5.6,320,51.0,idle,local_psutil,2026-04-02 02:10:04
5.5,320,51.2,idle,local_psutil,2026-04-02 02:10:07
6.6,320,51.1,idle,local_psutil,2026-04-02 02:10:10
5.3,320,51.1,idle,local_psutil,2026-04-02 02:10:13
5.9,322,51.0,idle,local_psutil,2026-04-02 02:10:16
5.1,320,51.0,idle,local_psutil,2026-04-02 02:10:19
5.4,320,51.0,idle,local_psutil,2026-04-02 02:10:22
5.4,320,50.9,idle,local_psutil,2026-04-02 02:10:25
6.0,320,50.7,idle,local_psutil,2026-04-02 02:10:28
5.8,324,51.0,idle,local_psutil,2026-04-02 02:10:31
8.9,320,51.1,idle,local_psutil,2026-04-02 02:10:34
5.6,320,51.0,idle,local_psutil,2026-04-02 02:10:37
5.3,320,50.7,idle,local_psutil,2026-04-02 02:10:40
5.9,320,50.7,idle,local_psutil,2026-04-02 02:10:43
6.0,322,50.7,idle,local_psutil,2026-04-02 02:10:46
8.0,320,51.0,idle,local_psutil,2026-04-02 02:10:49
5.4,320,51.1,idle,local_psutil,2026-04-02 02:10:52
6.0,322,51.0,idle,local_psutil,2026-04-02 02:10:55
5.3,320,51.0,idle,local_psutil,2026-04-02 02:10:58
6.0,322,50.9,idle,local_psutil,2026-04-02 02:11:01
7.5,320,50.8,idle,local_psutil,2026-04-02 02:11:04
6.8,320,51.0,idle,local_psutil,2026-04-02 02:11:07
7.6,319,50.9,idle,local_psutil,2026-04-02 02:11:10
8.3,319,50.9,idle,local_psutil,2026-04-02 02:11:13
6.8,321,50.9,idle,local_psutil,2026-04-02 02:11:16
5.6,320,50.9,idle,local_psutil,2026-04-02 02:11:19
5.9,320,51.0,idle,local_psutil,2026-04-02 02:11:22
5.5,319,51.1,idle,local_psutil,2026-04-02 02:11:25
5.3,319,51.0,idle,local_psutil,2026-04-02 02:11:28
9.3,322,51.1,idle,local_psutil,2026-04-02 02:11:31
7.4,320,51.2,idle,local_psutil,2026-04-02 02:11:34
7.1,322,51.3,idle,local_psutil,2026-04-02 02:11:37
6.3,320,51.2,idle,local_psutil,2026-04-02 02:11:40
5.4,319,51.0,idle,local_psutil,2026-04-02 02:11:43
5.5,321,50.9,idle,local_psutil,2026-04-02 02:11:46
7.9,319,51.1,idle,local_psutil,2026-04-02 02:11:49
5.3,319,51.1,idle,local_psutil,2026-04-02 02:11:52
5.8,321,51.1,idle,local_psutil,2026-04-02 02:11:55
5.3,319,51.2,idle,local_psutil,2026-04-02 02:11:58
5.1,321,51.1,idle,local_psutil,2026-04-02 02:12:01
6.8,319,51.2,idle,local_psutil,2026-04-02 02:12:04
5.4,319,51.1,idle,local_psutil,2026-04-02 02:12:07
5.5,321,51.1,idle,local_psutil,2026-04-02 02:12:10
6.2,319,51.1,idle,local_psutil,2026-04-02 02:12:13
5.1,320,51.0,idle,local_psutil,2026-04-02 02:12:16
5.1,318,51.0,idle,local_psutil,2026-04-02 02:12:19
5.4,318,51.2,idle,local_psutil,2026-04-02 02:12:22
5.4,319,51.2,idle,local_psutil,2026-04-02 02:12:25
9.9,319,52.4,idle,local_psutil,2026-04-02 02:12:28
5.8,321,52.9,idle,local_psutil,2026-04-02 02:12:31
5.3,319,51.7,idle,local_psutil,2026-04-02 02:12:34
5.2,319,51.8,idle,local_psutil,2026-04-02 02:12:37
5.4,319,51.6,idle,local_psutil,2026-04-02 02:12:40
6.2,319,51.4,idle,local_psutil,2026-04-02 02:12:43
5.5,321,51.2,idle,local_psutil,2026-04-02 02:12:46
6.0,319,50.8,idle,local_psutil,2026-04-02 02:12:49
6.7,319,50.7,idle,local_psutil,2026-04-02 02:12:52
6.7,319,51.1,idle,local_psutil,2026-04-02 02:12:55
5.6,319,51.1,idle,local_psutil,2026-04-02 02:12:58
6.1,321,51.0,idle,local_psutil,2026-04-02 02:13:01
6.2,319,50.9,idle,local_psutil,2026-04-02 02:13:04
5.9,319,51.0,idle,local_psutil,2026-04-02 02:13:07
6.7,319,50.9,idle,local_psutil,2026-04-02 02:13:10
6.0,321,51.1,idle,local_psutil,2026-04-02 02:13:13
5.8,321,51.0,idle,local_psutil,2026-04-02 02:13:16
5.6,319,51.1,idle,local_psutil,2026-04-02 02:13:19
6.1,319,50.9,idle,local_psutil,2026-04-02 02:13:22
5.6,319,50.9,idle,local_psutil,2026-04-02 02:13:25
6.4,319,50.8,idle,local_psutil,2026-04-02 02:13:28
5.9,323,51.0,idle,local_psutil,2026-04-02 02:13:31
6.1,319,50.9,idle,local_psutil,2026-04-02 02:13:34
5.8,319,51.0,idle,local_psutil,2026-04-02 02:13:37
5.9,319,51.0,idle,local_psutil,2026-04-02 02:13:40
7.0,319,50.9,idle,local_psutil,2026-04-02 02:13:43
5.5,321,51.0,idle,local_psutil,2026-04-02 02:13:46
6.4,321,50.8,idle,local_psutil,2026-04-02 02:13:49
6.0,319,50.8,idle,local_psutil,2026-04-02 02:13:52
5.4,319,50.6,idle,local_psutil,2026-04-02 02:13:55
5.5,319,50.5,idle,local_psutil,2026-04-02 02:13:58
5.7,323,50.8,idle,local_psutil,2026-04-02 02:14:01
6.1,319,50.8,idle,local_psutil,2026-04-02 02:14:04
5.8,319,50.8,idle,local_psutil,2026-04-02 02:14:07
6.0,319,50.8,idle,local_psutil,2026-04-02 02:14:10
5.4,319,51.0,idle,local_psutil,2026-04-02 02:14:13
8.3,321,50.9,idle,local_psutil,2026-04-02 02:14:16
7.5,319,51.1,idle,local_psutil,2026-04-02 02:14:19
8.3,319,51.2,idle,local_psutil,2026-04-02 02:14:22
11.8,319,51.2,idle,local_psutil,2026-04-02 02:14:25
7.3,319,51.2,idle,local_psutil,2026-04-02 02:14:28
6.7,321,51.2,idle,local_psutil,2026-04-02 02:14:31
5.8,319,51.2,idle,local_psutil,2026-04-02 02:14:34
11.0,319,51.7,idle,local_psutil,2026-04-02 02:14:37
9.1,321,51.6,idle,local_psutil,2026-04-02 02:14:40
6.0,319,51.4,idle,local_psutil,2026-04-02 02:14:43
20.9,326,63.0,idle,local_psutil,2026-04-02 02:14:46
20.1,324,58.2,idle,local_psutil,2026-04-02 02:14:49
23.2,324,63.6,idle,local_psutil,2026-04-02 02:14:52
20.7,327,63.4,idle,local_psutil,2026-04-02 02:14:55
19.7,325,59.4,idle,local_psutil,2026-04-02 02:14:58
20.6,327,56.2,idle,local_psutil,2026-04-02 02:15:01
20.0,325,60.6,idle,local_psutil,2026-04-02 02:15:04
21.7,325,63.5,idle,local_psutil,2026-04-02 02:15:07
21.4,327,63.6,idle,local_psutil,2026-04-02 02:15:10
19.5,325,64.9,idle,local_psutil,2026-04-02 02:15:13
19.3,327,57.1,idle,local_psutil,2026-04-02 02:15:16
18.4,325,52.3,idle,local_psutil,2026-04-02 02:15:19
19.3,325,52.2,idle,local_psutil,2026-04-02 02:15:22
17.4,322,51.8,idle,local_psutil,2026-04-02 02:15:25
99.3,351,76.2,cpu_stress,local_psutil,2026-04-02 02:27:31
100.0,349,77.4,cpu_stress,local_psutil,2026-04-02 02:27:32
100.0,349,78.6,cpu_stress,local_psutil,2026-04-02 02:27:33
100.0,349,75.2,cpu_stress,local_psutil,2026-04-02 02:27:34
100.0,349,73.1,cpu_stress,local_psutil,2026-04-02 02:27:35
100.0,351,79.6,cpu_stress,local_psutil,2026-04-02 02:27:36
100.0,349,82.0,cpu_stress,local_psutil,2026-04-02 02:27:37
99.7,349,72.8,cpu_stress,local_psutil,2026-04-02 02:27:38
99.9,351,80.0,cpu_stress,local_psutil,2026-04-02 02:27:39
99.9,349,82.5,cpu_stress,local_psutil,2026-04-02 02:27:40
99.8,351,77.2,cpu_stress,local_psutil,2026-04-02 02:27:41
100.0,349,80.3,cpu_stress,local_psutil,2026-04-02 02:27:42
100.0,349,75.0,cpu_stress,local_psutil,2026-04-02 02:27:43
100.0,351,81.3,cpu_stress,local_psutil,2026-04-02 02:27:44
100.0,349,83.5,cpu_stress,local_psutil,2026-04-02 02:27:45
100.0,351,83.2,cpu_stress,local_psutil,2026-04-02 02:27:46
99.7,349,81.2,cpu_stress,local_psutil,2026-04-02 02:27:47
100.0,349,71.8,cpu_stress,local_psutil,2026-04-02 02:27:48
100.0,351,79.3,cpu_stress,local_psutil,2026-04-02 02:27:49
100.0,349,82.6,cpu_stress,local_psutil,2026-04-02 02:27:50
100.0,351,78.6,cpu_stress,local_psutil,2026-04-02 02:27:51
100.0,349,79.7,cpu_stress,local_psutil,2026-04-02 02:27:52
100.0,349,83.0,cpu_stress,local_psutil,2026-04-02 02:27:53
100.0,349,81.5,cpu_stress,local_psutil,2026-04-02 02:27:54
100.0,349,83.0,cpu_stress,local_psutil,2026-04-02 02:27:55
100.0,351,77.4,cpu_stress,local_psutil,2026-04-02 02:27:56
100.0,349,77.8,cpu_stress,local_psutil,2026-04-02 02:27:57
99.7,349,82.7,cpu_stress,local_psutil,2026-04-02 02:27:58
100.0,349,82.7,cpu_stress,local_psutil,2026-04-02 02:27:59
99.7,349,82.5,cpu_stress,local_psutil,2026-04-02 02:28:00
99.8,351,82.3,cpu_stress,local_psutil,2026-04-02 02:28:01
100.0,349,78.2,cpu_stress,local_psutil,2026-04-02 02:28:02
100.0,349,80.6,cpu_stress,local_psutil,2026-04-02 02:28:03
100.0,349,82.2,cpu_stress,local_psutil,2026-04-02 02:28:04
99.8,349,81.1,cpu_stress,local_psutil,2026-04-02 02:28:05
100.0,351,82.2,cpu_stress,local_psutil,2026-04-02 02:28:06
99.8,349,82.2,cpu_stress,local_psutil,2026-04-02 02:28:07
99.8,349,82.1,cpu_stress,local_psutil,2026-04-02 02:28:08
99.9,349,81.7,cpu_stress,local_psutil,2026-04-02 02:28:09
99.3,351,81.9,cpu_stress,local_psutil,2026-04-02 02:28:10
99.8,351,77.2,cpu_stress,local_psutil,2026-04-02 02:28:11
99.2,349,80.9,cpu_stress,local_psutil,2026-04-02 02:28:12
100.0,349,80.3,cpu_stress,local_psutil,2026-04-02 02:28:13
99.3,349,82.1,cpu_stress,local_psutil,2026-04-02 02:28:14
100.0,351,82.2,cpu_stress,local_psutil,2026-04-02 02:28:15
100.0,352,82.0,cpu_stress,local_psutil,2026-04-02 02:28:16
99.9,349,81.3,cpu_stress,local_psutil,2026-04-02 02:28:17
100.0,349,76.4,cpu_stress,local_psutil,2026-04-02 02:28:18
99.8,349,77.9,cpu_stress,local_psutil,2026-04-02 02:28:19
100.0,349,79.3,cpu_stress,local_psutil,2026-04-02 02:28:20
100.0,351,80.5,cpu_stress,local_psutil,2026-04-02 02:28:21
100.0,349,81.4,cpu_stress,local_psutil,2026-04-02 02:28:22
100.0,350,82.7,cpu_stress,local_psutil,2026-04-02 02:28:23
99.9,351,83.0,cpu_stress,local_psutil,2026-04-02 02:28:24
100.0,349,82.9,cpu_stress,local_psutil,2026-04-02 02:28:25
100.0,351,79.1,cpu_stress,local_psutil,2026-04-02 02:28:26
100.0,349,76.2,cpu_stress,local_psutil,2026-04-02 02:28:27
99.9,350,82.0,cpu_stress,local_psutil,2026-04-02 02:28:28
100.0,351,66.5,cpu_stress,local_psutil,2026-04-02 02:28:29
100.0,349,78.6,cpu_stress,local_psutil,2026-04-02 02:28:30
99.8,351,81.0,cpu_stress,local_psutil,2026-04-02 02:28:31
100.0,349,81.7,cpu_stress,local_psutil,2026-04-02 02:28:32
100.0,349,81.8,cpu_stress,local_psutil,2026-04-02 02:28:33
100.0,349,70.0,cpu_stress,local_psutil,2026-04-02 02:28:34
99.9,349,69.5,cpu_stress,local_psutil,2026-04-02 02:28:35
100.0,351,64.0,cpu_stress,local_psutil,2026-04-02 02:28:36
99.9,348,66.3,cpu_stress,local_psutil,2026-04-02 02:28:37
100.0,350,69.4,cpu_stress,local_psutil,2026-04-02 02:28:38
100.0,348,77.0,cpu_stress,local_psutil,2026-04-02 02:28:39
100.0,348,77.2,cpu_stress,local_psutil,2026-04-02 02:28:40
100.0,350,77.0,cpu_stress,local_psutil,2026-04-02 02:28:41
99.9,348,77.5,cpu_stress,local_psutil,2026-04-02 02:28:42
100.0,350,77.4,cpu_stress,local_psutil,2026-04-02 02:28:43
100.0,348,74.6,cpu_stress,local_psutil,2026-04-02 02:28:44
99.9,348,77.1,cpu_stress,local_psutil,2026-04-02 02:28:45
100.0,350,77.0,cpu_stress,local_psutil,2026-04-02 02:28:46
100.0,348,73.1,cpu_stress,local_psutil,2026-04-02 02:28:47
100.0,348,74.9,cpu_stress,local_psutil,2026-04-02 02:28:48
99.9,348,76.1,cpu_stress,local_psutil,2026-04-02 02:28:49
100.0,348,63.8,cpu_stress,local_psutil,2026-04-02 02:28:50
100.0,350,75.8,cpu_stress,local_psutil,2026-04-02 02:28:51
100.0,348,76.0,cpu_stress,local_psutil,2026-04-02 02:28:52
